,ts,buyingPrice,buyingPricePer,buyingCompleted,buyingCompletedPer,sellingPrice,sellingPricePer,sellingCompleted,sellingCompletedPer,overallPrice,overallPricePer,overallCompleted,overallCompletedPer
0,1474603200,199359.0,0.0,5.0,0.0,191136.0,0.0,28.0,0.0,192382,0.0,33,0.0
1,1474617600,198995.0,-0.0018258518551959029,5.0,0.0,185995.0,-0.026897078520006695,10.0,-0.6428571428571429,190328,-0.010676674532960465,15,-0.5454545454545454
2,1474632000,184953.0,-0.07056458704992588,38.0,6.6,181327.0,-0.025097448856152046,27.0,1.7,183447,-0.03615337732756084,65,3.3333333333333335
3,1474646400,192097.0,0.038626029315555845,13.0,-0.6578947368421053,180648.0,-0.003744616080341041,36.0,0.3333333333333333,183685,0.001297377444166435,49,-0.24615384615384617
4,1474660800,191564.0,-0.0027746398954694765,6.0,-0.5384615384615384,180872.0,0.0012399805145919135,35.0,-0.027777777777777776,182437,-0.0067942401393690285,41,-0.16326530612244897
5,1474675200,188417.0,-0.016427930091248877,8.0,0.3333333333333333,178797.0,-0.01147220133575125,21.0,-0.4,181451,-0.005404605425434534,29,-0.2926829268292683
6,1474689600,187722.0,-0.0036886268224204824,35.0,3.375,180763.0,0.010995710218851547,29.0,0.38095238095238093,184569,0.017183702487172846,64,1.206896551724138
7,1474704000,178800.0,-0.0475277271710295,79.0,1.2571428571428571,182589.0,0.01010162477940729,26.0,-0.10344827586206896,179738,-0.026174493008034934,105,0.640625
8,1474718400,185859.0,0.03947986577181208,5.0,-0.9367088607594937,181896.0,-0.0037954093620097594,20.0,-0.23076923076923078,182688,0.016412778599962166,25,-0.7619047619047619
9,1474732800,184884.0,-0.005245912223782545,21.0,3.2,181910.0,7.696705809913357e-05,46.0,1.3,182842,0.0008429672447013487,67,1.68
10,1474747200,191913.0,0.038018433179723504,8.0,-0.6190476190476191,181189.0,-0.003963498433291188,34.0,-0.2608695652173913,183232,0.002132989138163004,42,-0.373134328358209
11,1474761600,194141.0,0.011609427188361393,7.0,-0.125,176031.0,-0.028467511824669268,30.0,-0.11764705882352941,179457,-0.020602296542088717,37,-0.11904761904761904
12,1474776000,191818.0,-0.01196553020742656,10.0,0.42857142857142855,173810.0,-0.012617095852435083,26.0,-0.13333333333333333,178812,-0.003594175763553386,36,-0.02702702702702703
13,1474790400,174260.0,-0.09153468391913168,13.0,0.3,164068.0,-0.056049709452850816,18.0,-0.3076923076923077,168342,-0.05855311724045366,31,-0.1388888888888889
14,1474804800,183065.0,0.05052794674624125,35.0,1.6923076923076923,181813.0,0.10815637418631299,47.0,1.6111111111111112,182347,0.0831937365600979,82,1.6451612903225807
15,1474819200,176315.0,-0.03687214923660995,78.0,1.2285714285714286,180682.0,-0.006220677289302745,49.0,0.0425531914893617,178000,-0.023839163792110644,127,0.5487804878048781
16,1474833600,185829.0,0.053960241613022146,11.0,-0.8589743589743589,180189.0,-0.002728550713408087,47.0,-0.04081632653061224,181259,0.018308988764044944,58,-0.5433070866141733
17,1474848000,185390.0,-0.002362386925614409,9.0,-0.18181818181818182,180469.0,0.001553923935423361,34.0,-0.2765957446808511,181499,0.0013240721840018978,43,-0.25862068965517243
18,1474862400,186499.0,0.005981983925778089,5.0,-0.4444444444444444,181134.0,0.0036848433803035423,26.0,-0.23529411764705882,181999,0.0027548361147995306,31,-0.27906976744186046
19,1474876800,187000.0,0.0026863414817237625,6.0,0.2,180958.0,-0.0009716563428180242,14.0,-0.46153846153846156,182771,0.0042417815482502655,20,-0.3548387096774194
20,1474891200,185999.0,-0.005352941176470588,4.0,-0.3333333333333333,181352.0,0.002177300810132738,34.0,1.4285714285714286,181842,-0.005082863255111588,38,0.9
21,1474905600,181347.0,-0.025010887155307287,122.0,29.5,181072.0,-0.0015439587101327805,29.0,-0.14705882352941177,181294,-0.0030136052177164793,151,2.973684210526316
22,1474920000,184619.0,0.01804275780685647,24.0,-0.8032786885245902,182000.0,0.005125033135990103,41.0,0.41379310344827586,182967,0.009228104625635707,65,-0.5695364238410596
23,1474934400,194888.0,0.05562266072289418,6.0,-0.75,182620.0,0.003406593406593407,24.0,-0.4146341463414634,185073,0.011510272344193216,30,-0.5384615384615384
24,1474948800,192725.0,-0.011098682320101801,13.0,1.1666666666666667,181844.0,-0.004249260760048187,33.0,0.375,184919,-0.0008321040886569084,46,0.5333333333333333
25,1474963200,184518.0,-0.042583992735763396,104.0,7.0,181000.0,-0.0046413409295879985,18.0,-0.45454545454545453,183998,-0.0049805590555865,122,1.6521739130434783
26,1474977600,184558.0,0.00021678101865400665,41.0,-0.6057692307692307,182805.0,0.009972375690607735,40.0,1.2222222222222223,183692,-0.0016630615550169024,81,-0.3360655737704918
27,1474992000,183738.0,-0.0044430477139977675,65.0,0.5853658536585366,182000.0,-0.0044035994639096306,35.0,-0.125,183129,-0.00306491300655445,100,0.2345679012345679
28,1475006400,194666.0,0.0594759929900184,4.0,-0.9384615384615385,181231.0,-0.004225274725274725,36.0,0.02857142857142857,182574,-0.0030306505250397263,40,-0.6
29,1475020800,182678.0,-0.06158240267946123,29.0,6.25,181313.0,0.00045246122352136226,27.0,-0.25,182020,-0.003034386057160384,56,0.4
30,1475035200,196459.0,0.07543875015053811,4.0,-0.8620689655172413,182154.0,0.00463838776039225,22.0,-0.18518518518518517,184355,0.012828260630699924,26,-0.5357142857142857
31,1475049600,198792.0,0.011875251324703882,3.0,-0.25,181547.0,-0.003332345158492265,22.0,0.0,183616,-0.004008570421198232,25,-0.038461538461538464
